hero,winner,kills,deaths,assists
10,False,1,8,1
48,True,0,3,10
99,True,14,0,6
64,True,2,0,15
44,True,4,0,9
40,True,5,0,12
80,False,0,10,1
36,False,0,6,1
62,False,1,4,1
60,False,0,7,0
12,False,0,6,1
43,True,6,0,12
49,True,4,0,15
40,True,14,1,12
11,True,3,0,12
56,True,6,1,2
108,True,11,4,19
31,True,12,1,20
93,True,1,6,11
13,True,3,3,14
92,True,12,6,9
67,False,0,12,4
81,False,10,7,4
35,False,5,6,8
88,False,2,9,9
75,False,3,8,8
23,True,17,2,8
104,True,7,3,10
62,True,2,5,7
63,True,0,2,9
45,True,4,4,10
101,False,0,4,3
66,False,4,9,5
43,False,7,8,4
25,False,1,4,6
48,False,3,9,3
91,True,28,1,2
84,True,2,2,14
85,True,4,3,3
90,True,7,1,4
71,True,1,0,5
79,False,2,6,2
6,False,0,11,3
9,False,0,7,2
28,False,4,6,1
41,False,0,12,1
10,False,1,6,2
73,False,0,7,1
62,False,1,7,5
58,False,3,6,2
3,False,2,8,3
64,True,4,2,20
39,True,6,0,15
33,True,15,2,9
76,True,5,1,10
8,True,4,3,8
34,True,6,3,8
38,True,1,1,5
90,True,0,3,5
92,True,2,4,7
62,True,15,1,4
14,False,2,6,6
5,False,2,5,5
68,False,1,4,8
39,False,2,5,7
33,False,4,4,3
83,False,3,10,10
37,False,2,6,11
90,False,2,4,10
105,False,3,7,7
59,False,8,11,11
79,True,7,4,12
35,True,3,4,17
56,True,12,7,12
81,True,12,3,10
25,True,2,4,20
27,False,2,4,10
63,False,3,5,7
71,False,1,4,0
78,False,5,7,4
90,False,2,6,5
11,True,1,4,6
48,True,5,3,4
40,True,3,4,17
24,True,14,3,7
75,True,2,1,7
29,True,3,5,7
70,True,10,7,14
71,True,8,4,5
50,True,4,6,12
59,True,8,6,16
101,False,4,7,6
79,False,8,3,14
95,False,1,9,9
43,False,10,7,8
17,False,1,7,12
107,False,2,3,2
20,False,1,3,4
90,False,2,5,2
32,False,5,5,2
13,False,0,5,5
79,True,3,1,14
52,True,2,1,6
56,True,6,3,7
33,True,10,0,6
9,True,0,5,6
70,True,4,1,11
62,True,8,2,5
32,True,5,3,6
21,True,4,4,4
73,True,2,3,7
1,False,1,5,4
101,False,3,6,4
56,False,0,4,6
54,False,3,5,1
19,False,4,4,6
71,False,1,7,1
89,False,0,11,0
90,False,2,5,0
91,False,0,6,2
92,False,1,8,1
56,True,6,0,11
53,True,0,1,2
40,True,12,2,23
81,True,9,0,11
4,True,9,1,13
34,True,1,6,10
45,True,5,5,6
82,True,7,4,12
13,True,2,2,12
96,True,11,3,3
35,False,2,5,7
66,False,7,6,6
11,False,3,7,3
5,False,1,6,8
49,False,6,3,10
82,False,3,5,5
93,False,2,3,0
87,False,0,6,3
37,False,1,4,1
74,False,2,7,4
95,True,1,2,8
33,True,8,1,7
18,True,2,2,6
57,True,6,2,10
14,True,8,2,5
62,True,8,1,5
42,True,10,3,9
90,True,5,0,6
70,True,2,1,12
83,True,2,0,8
52,False,0,6,0
46,False,2,6,2
40,False,1,6,1
19,False,1,5,1
44,False,1,6,1
91,True,10,0,13
42,True,6,1,10
37,True,7,0,10
34,True,5,0,12
82,True,3,1,10
66,False,0,8,0
101,False,0,6,0
11,False,0,6,0
18,False,0,6,1
19,False,0,7,1
96,True,7,7,3
21,True,6,3,6
85,True,8,2,2
45,True,6,6,9
61,True,3,4,9
24,False,4,6,7
46,False,6,6,6
106,False,5,7,2
7,False,2,6,6
101,False,5,6,5
37,False,1,4,4
73,False,4,6,1
58,False,2,1,2
36,False,2,4,3
45,False,3,4,6
99,True,5,1,5
56,True,8,2,3
2,True,2,1,8
35,True,1,4,8
79,True,3,4,6
91,True,10,2,8
30,True,3,1,6
89,True,7,1,10
61,True,5,1,7
70,True,4,1,7
95,False,0,8,3
5,False,1,4,2
55,False,0,8,3
14,False,2,4,0
33,False,2,6,2
59,True,2,2,13
80,True,7,0,13
29,True,8,2,9
93,True,4,0,10
47,True,8,1,4
48,False,2,6,1
19,False,0,7,4
52,False,1,4,1
54,False,2,7,1
16,False,0,7,1
78,False,7,5,3
70,False,2,7,9
74,False,3,9,3
62,False,2,8,6
82,False,2,5,3
41,True,5,6,5
68,True,3,4,6
99,True,20,3,5
53,True,4,1,9
33,True,1,4,9
42,True,18,1,3
15,True,2,0,18
36,True,2,0,14
58,True,5,0,5
77,True,0,2,4
4,False,1,5,1
53,False,0,4,1
106,False,0,5,0
75,False,2,6,0
86,False,0,7,0
23,True,6,4,3
62,True,4,2,2
31,True,2,3,7
90,True,5,1,2
12,True,1,0,10
57,False,2,1,2
19,False,3,3,0
18,False,0,6,3
48,False,2,5,3
56,False,3,3,2
3,True,2,1,13
38,True,8,0,8
42,True,6,1,6
59,True,7,2,14
71,True,4,1,5
79,False,0,5,2
76,False,3,4,0
106,False,1,7,1
54,False,1,6,1
48,False,0,5,2
93,True,0,6,6
94,True,10,3,6
84,True,3,5,10
26,True,1,6,6
90,True,4,6,7
55,False,3,5,9
39,False,4,2,8
43,False,8,1,12
33,False,5,5,11
76,False,4,5,8
93,True,3,3,9
82,True,5,3,7
104,True,5,6,11
38,True,3,3,10
23,True,10,2,5
86,False,1,5,1
99,False,7,2,3
19,False,7,8,1
39,False,1,3,8
24,False,0,8,8
62,True,11,6,9
27,True,2,4,14
42,True,6,7,6
82,True,2,7,11
29,True,4,5,13
56,False,5,5,2
48,False,4,5,10
28,False,1,7,7
41,False,6,7,10
43,False,12,3,8
42,False,5,5,3
60,False,1,5,2
29,False,0,8,4
45,False,3,5,3
78,False,4,3,4
1,True,1,2,8
81,True,15,0,7
24,True,4,4,12
14,True,2,4,10
5,True,3,3,10
96,False,4,6,3
72,False,2,5,7
47,False,6,6,0
34,False,5,5,4
61,False,0,7,3
56,True,10,3,14
14,True,2,4,5
28,True,0,5,5
33,True,7,3,5
43,True,10,3,10
87,False,2,4,1
34,False,0,4,5
15,False,2,6,5
10,False,5,4,3
77,False,0,5,5
54,True,14,3,4
66,True,0,3,17
68,True,6,1,6
67,True,3,1,17
11,True,0,2,5
70,True,6,1,12
12,True,2,1,11
42,True,7,1,6
83,True,4,0,8
45,True,5,1,12
8,False,0,4,0
102,False,1,4,2
6,False,1,7,2
52,False,1,4,0
41,False,1,5,0
90,True,3,4,10
107,True,1,5,12
65,True,4,5,8
32,True,8,7,8
80,True,6,7,4
66,False,1,5,14
53,False,8,3,7
